approach,cpu,batchsize,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,69,479,1,2,22,0.08333333333333333,0.6666666666666666,0.9543650793650794,0.14814814814814814,-132.83224487304688,37.71
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,183,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.85352935791016,17.45
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,199,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.1178741455078,17.00
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,244,484,2,1,17,0.05555555555555555,0.3333333333333333,0.9623015873015873,0.09523809523809525,-131.5314178466797,36.53
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,198,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.28329467773438,16.50
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,21,484,1,2,17,0.10526315789473684,0.6666666666666666,0.9642857142857143,0.18181818181818182,-127.87361145019531,2.48
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,76,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-134.4671173095703,34.41
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,123,481,1,2,20,0.09090909090909091,0.6666666666666666,0.9583333333333334,0.16,-131.89694213867188,22.36
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,116,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-136.5734100341797,24.84
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,152,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.12890625,18.70
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,159,481,3,0,20,0.0,0.0,0.9543650793650794,0.0,-135.92672729492188,17.75
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,151,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.36632385253907,18.79
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,173,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.8923797607422,17.58
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,187,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.632080078125,17.18
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,95,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,-134.5990447998047,26.70
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,33,489,1,2,12,0.14285714285714285,0.6666666666666666,0.9742063492063492,0.23529411764705882,-129.10357360839845,2.72
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,125,488,1,2,13,0.13333333333333333,0.6666666666666666,0.9722222222222222,0.2222222222222222,-127.1953369140625,22.53
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,171,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-143.0242462158203,17.49
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,200,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-142.2093505859375,17.05
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,237,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,-135.86021575927734,37.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,247,486,1,2,15,0.11764705882352941,0.6666666666666666,0.9682539682539683,0.2,-128.92434692382812,36.07
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,41,480,1,2,21,0.08695652173913043,0.6666666666666666,0.9563492063492064,0.15384615384615383,-130.08150787353514,54.65
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,1,479,0,3,22,0.12,1.0,0.9563492063492064,0.21428571428571425,-122.4947898864746,4.51
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,201,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-142.2757110595703,15.97
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,121,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-134.22727966308594,21.63
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,250,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-123.94950866699219,36.49
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,146,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.00265045166017,21.81
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,217,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-140.802734375,41.21
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,19,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-128.5203857421875,2.98
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,197,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-142.3535919189453,16.97
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,71,483,1,2,18,0.1,0.6666666666666666,0.9623015873015873,0.1739130434782609,-129.99815826416017,35.01
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,75,488,3,0,13,0.0,0.0,0.9682539682539683,0.0,-134.4502975463867,35.19
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,111,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.24324493408204,25.25
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,186,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.85528564453125,16.82
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,120,485,3,0,16,0.0,0.0,0.9623015873015873,0.0,-134.6772216796875,24.05
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,132,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-139.93191528320312,22.01
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,249,487,1,2,14,0.125,0.6666666666666666,0.9702380952380952,0.21052631578947367,-126.59140853881836,35.83
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,234,481,3,0,20,0.0,0.0,0.9543650793650794,0.0,-137.33648681640625,35.96
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,53,483,1,2,18,0.1,0.6666666666666666,0.9623015873015873,0.1739130434782609,-131.8603515625,44.99
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,35,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-129.23556518554688,3.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,209,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.63424682617188,18.15
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,207,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.86727905273438,16.10
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,3,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-126.59321746826171,3.32
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,62,488,1,2,13,0.13333333333333333,0.6666666666666666,0.9722222222222222,0.2222222222222222,-130.38742065429688,39.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,108,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.4168243408203,27.43
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,180,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.96395874023438,16.95
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,133,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.61925048828127,21.56
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,153,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.9783508300781,19.52
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,57,483,2,1,18,0.05263157894736842,0.3333333333333333,0.9603174603174603,0.09090909090909091,-132.64613342285156,45.22
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,231,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.20567321777344,38.34
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,134,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-140.02074432373047,21.99
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,191,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.59458923339844,16.75
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,227,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.07927398681642,39.93
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,10,489,0,3,12,0.2,1.0,0.9761904761904762,0.33333333333333337,-128.3037322998047,2.75
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,94,480,3,0,21,0.0,0.0,0.9523809523809523,0.0,-135.23812866210938,25.59
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,124,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-129.88812255859375,21.52
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,239,480,3,0,21,0.0,0.0,0.9523809523809523,0.0,-135.0778045654297,36.97
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,154,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.66836547851562,18.83
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,26,487,1,2,14,0.125,0.6666666666666666,0.9702380952380952,0.21052631578947367,-128.74559631347657,2.57
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,68,482,1,2,19,0.09523809523809523,0.6666666666666666,0.9603174603174603,0.16666666666666666,-133.1384735107422,38.15
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,168,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.99254302978517,17.07
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,182,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.85846710205078,17.60
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,203,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-142.1365966796875,11.68
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,220,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-140.4413299560547,40.92
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,118,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-136.02137756347656,23.62
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,136,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-139.69482421875,20.90
