approach,cpu,hidden_units,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,471,477,2,1,24,0.04,0.3333333333333333,0.9484126984126984,0.07142857142857142,-222.54848388471598,7456.29
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,333,473,1,2,28,0.06666666666666667,0.6666666666666666,0.9424603174603174,0.1212121212121212,-169.44749205071457,4792.13
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,370,469,0,3,32,0.08571428571428572,1.0,0.9365079365079365,0.15789473684210528,-195.17681517660904,5275.41
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,284,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-149.72826961126228,4144.85
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,252,472,0,3,29,0.09375,1.0,0.9424603174603174,0.17142857142857143,-123.88660921480196,3652.69
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,194,474,0,3,27,0.1,1.0,0.9464285714285714,0.18181818181818182,-91.38785910276816,2288.37
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,143,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-70.68433355320538,1729.09
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,34,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-10.900898933827412,504.22
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,599,479,1,2,22,0.08333333333333333,0.6666666666666666,0.9543650793650794,0.14814814814814814,-325.3032224455291,10184.87
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,115,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-49.4484431673977,1417.41
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,85,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-33.23690242946583,1089.31
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,99,462,0,3,39,0.07142857142857142,1.0,0.9226190476190477,0.13333333333333333,-48.90178292366451,1229.92
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,153,470,0,3,31,0.08823529411764706,1.0,0.9384920634920635,0.1621621621621622,-76.31640664879447,1839.04
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,536,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-299.09161854667104,8309.83
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,354,479,0,3,22,0.12,1.0,0.9563492063492064,0.21428571428571425,-169.41404951163628,5066.96
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,623,473,1,2,28,0.06666666666666667,0.6666666666666666,0.9424603174603174,0.1212121212121212,-346.6865429990594,10508.98
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,159,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-75.19701606960294,1894.97
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,198,480,0,3,21,0.125,1.0,0.9583333333333334,0.2222222222222222,-93.84701509864168,2312.16
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,385,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-202.5721537479542,5276.36
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,618,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-334.28371148197505,10291.76
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,149,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-64.8546272580307,1817.91
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,387,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-205.99623109332362,5296.40
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,124,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-55.195507497806645,1523.92
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,193,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-92.26839037230133,2259.97
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,512,476,1,2,25,0.07407407407407407,0.6666666666666666,0.9484126984126984,0.13333333333333333,-263.0663600953635,7978.97
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,228,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-108.55950355797586,2719.33
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,103,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-44.33824295708043,1274.85
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,632,476,1,2,25,0.07407407407407407,0.6666666666666666,0.9484126984126984,0.13333333333333333,-336.8990778068716,11210.49
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,388,476,1,2,25,0.07407407407407407,0.6666666666666666,0.9484126984126984,0.13333333333333333,-199.3687114261976,5311.37
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,511,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-266.31329089560927,7990.24
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,608,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-332.63577014053084,10199.57
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,334,470,0,3,31,0.08823529411764706,1.0,0.9384920634920635,0.1621621621621622,-175.2255561282552,4815.22
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,14,461,2,1,40,0.024390243902439025,0.3333333333333333,0.9166666666666666,0.04545454545454545,2.997242012064615,279.64
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,503,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-267.44122652412653,7867.46
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,67,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-29.514275072064436,866.65
